Make,Model,Year,Vehicle_Type,Battery_Capacity_kWh,Battery_Health_%,Range_km,Charging_Power_kW,Charging_Time_hr,Charge_Cycles,Energy_Consumption_kWh_per_100km,Mileage_km,Avg_Speed_kmh,Temperature_C
Chevrolet,Bolt EV,2017,SUV,88.9,88.2,439,77.5,1.43,473,14.95,128516,81.7,2.8
Chevrolet,Bolt EUV,2019,Sedan,103.3,85.6,601,88.9,1.57,1094,17.68,223382,89.8,16
Nissan,Ariya,2017,Truck,94.6,81.1,419,139.5,0.75,345,15.28,24958,56.9,-9.8
Chevrolet,Bolt EUV,2015,Sedan,118.6,88.2,593,102.4,1.25,1242,14.48,26882,38.6,6.4
Chevrolet,Bolt EUV,2017,Hatchback,98.9,80.7,554,94.4,1.18,546,17.05,165544,97.9,36.2
Volkswagen,ID.3,2021,Hatchback,83.9,75.4,360,12,7.48,1287,16.55,31885,72,32.8
BMW,iX,2020,Hatchback,66.1,75.7,324,235.8,0.31,1627,13.74,159342,95.6,-9.9
Hyundai,Kona Electric,2015,Truck,54.5,70.2,254,119.3,0.54,583,23.13,30040,62.9,5
Hyundai,Ioniq 5,2023,Sedan,53.9,75.4,285,213.4,0.32,1226,16.45,183453,57.9,-8.2
Nissan,Ariya,2018,Hatchback,99.2,84.6,547,61.5,1.72,687,14.57,170587,94.3,23
Hyundai,Kona Electric,2018,Sedan,75.1,88.7,331,200.8,0.4,1726,17.51,220057,58.4,-0.3
Chevrolet,Bolt EUV,2017,Hatchback,87,95.6,429,217.7,0.55,1089,16.33,238720,70,31.7
Tesla,Model S,2017,Sedan,54.1,78.5,288,63.1,0.99,263,15.11,212267,65.6,31.6
Ford,F-150 Lightning,2017,Hatchback,86.3,88.7,370,141,0.77,1847,20.54,166767,39,35.2
Audi,e-tron,2015,SUV,110.2,84.5,470,102.8,1.47,995,15.09,141451,60.7,32.2
BMW,i3,2022,Sedan,106.1,72.6,606,126.6,0.92,1859,13.31,82115,84.6,38.6
Nissan,Ariya,2023,Sedan,116.5,82.1,471,155.1,0.97,1040,18.35,86313,64,9.3
Kia,EV6,2023,Truck,32.6,85.6,161,84.3,0.42,1205,17.33,87561,41.3,20.6
Tesla,Model 3,2023,Sedan,98.9,94.6,420,244.5,0.43,485,15.75,183061,47.2,25.5
Nissan,Ariya,2015,Hatchback,71.3,88.9,386,223.5,0.41,829,16.76,81711,71.3,-8.2
Tesla,Model S,2015,SUV,73.4,71.3,376,108.8,0.76,674,21.41,176064,37.1,8.4
Hyundai,Kona Electric,2017,Sedan,84.9,87.2,455,92.2,1.16,539,19.3,91639,41.3,37.1
Tesla,Model X,2020,Sedan,70,83.8,417,44.3,1.81,208,14.91,110311,83.4,8.7
BMW,iX,2021,Sedan,47.3,93.1,204,202,0.29,1534,17.26,121196,58.6,32.6
Nissan,Ariya,2023,SUV,90.7,75.9,390,71.3,1.59,1581,20.39,179853,65,35.4
Audi,Q4 e-tron,2019,Sedan,53.1,88.2,299,33.4,2.07,1347,21.02,44705,95.3,37.5
Nissan,Ariya,2019,SUV,91.6,95.3,476,43.1,2.66,339,15.94,144355,90.7,-7.1
Ford,Mustang Mach-E,2022,SUV,47.4,95.1,195,82.4,0.82,442,18.78,46583,75.1,29.3
Nissan,Ariya,2016,Sedan,52.4,75,286,139.6,0.5,495,14.4,116477,89.4,16.1
Volkswagen,ID.4,2015,Sedan,45.4,88.9,235,26.5,2.23,226,17.26,217550,47,13.9
Mercedes,EQC,2019,Sedan,106.3,89,460,86.2,1.4,379,22.99,193387,73.9,18.3
Volkswagen,ID.3,2021,SUV,109.3,79.9,526,227.6,0.54,1476,17.66,153694,61.4,11.4
Ford,F-150 Lightning,2021,Truck,76.5,72.9,419,37.1,2.57,1374,12.02,135591,88.9,21.5
Mercedes,EQS,2020,SUV,97.7,77,583,131,0.8,401,15.51,20546,61.4,9.1
Tesla,Model 3,2020,Sedan,108.1,88,597,239.7,0.52,1246,19.23,43829,43,30.8
Volkswagen,ID.3,2015,Sedan,96.8,85.2,418,148.9,0.7,1659,15.63,247696,56.4,12.4
Chevrolet,Bolt EUV,2019,SUV,113.8,94.6,600,43.7,3.54,567,12.65,90643,38.1,16.4
Tesla,Model 3,2023,Truck,56.8,97.2,273,60.7,1.12,1332,13.73,221562,65.4,33.6
Ford,Mustang Mach-E,2023,Truck,83,75.3,444,128.1,0.89,1245,20.92,74498,68.2,-9.8
Ford,F-150 Lightning,2018,SUV,88.3,84.3,497,118.8,0.89,741,16.85,178831,39.7,-5.8
Hyundai,Kona Electric,2024,Truck,31.4,73.5,141,206.2,0.19,221,24.57,226812,50.1,34.1
Tesla,Model S,2019,Sedan,59.6,90.6,339,88,0.87,1769,19.6,34105,44.2,39.9
BMW,i3,2023,Sedan,49.9,86,221,73.1,0.8,502,20.89,227513,94.3,36.6
Audi,e-tron,2016,Sedan,98.4,98.5,520,172.9,0.78,836,23.45,84504,46.9,23
Chevrolet,Bolt EUV,2022,SUV,31.2,79.7,182,83.7,0.4,1747,16.09,222167,60.1,34.1
BMW,iX,2023,Truck,110.2,81.2,482,14.6,10.52,1539,23.93,151000,53.5,-4.7
Chevrolet,Bolt EV,2021,Hatchback,43.3,86.4,234,216.7,0.21,544,20.04,118094,76.6,39.6
Volkswagen,ID.4,2022,Hatchback,59.9,83.1,354,103,0.8,693,15.08,246411,30.8,10.3
Audi,Q4 e-tron,2022,Hatchback,115,97.4,612,132.1,0.96,919,13.37,208658,41,22
Volkswagen,ID.3,2019,SUV,99.3,85.5,474,152.7,0.78,716,18.38,196626,98.3,-5.6
BMW,i4,2016,Hatchback,92.6,98.3,429,90.8,1.12,1307,24.62,172086,65.5,35.5
Kia,Niro EV,2020,Sedan,75.4,99,405,71.1,1.14,309,17.45,81925,37.1,25.6
Chevrolet,Bolt EV,2021,SUV,42.7,93.1,248,29.8,1.58,303,20.11,22060,64.5,16.1
Audi,Q4 e-tron,2019,Hatchback,43.6,94.7,201,119.5,0.45,293,21.23,12575,85.2,-6.5
Ford,F-150 Lightning,2021,Truck,33.9,74.7,179,106.4,0.35,1749,14.08,145859,51,29
Nissan,Ariya,2020,Sedan,77.2,76.7,439,206.6,0.47,1372,22.86,7728,78.3,39.1
BMW,i3,2016,Truck,75.7,76.1,418,68.7,1.26,1137,12.01,135030,100,-2.7
Audi,Q4 e-tron,2023,Sedan,32.1,86.1,142,144.3,0.27,649,23.31,100623,97.2,1.4
Volkswagen,ID.3,2018,Hatchback,64.2,88,331,163.1,0.5,1519,21.23,235980,39.3,-3
Tesla,Model 3,2019,Hatchback,52.1,89.6,214,115.4,0.49,1324,24.21,33439,94.7,-1.8
Kia,EV6,2019,Sedan,36.3,87.4,155,18.5,2.69,408,12.13,155042,72.3,21.9
Volkswagen,ID.4,2016,SUV,82.5,72,352,169.6,0.59,823,15.13,196620,93.9,-9.3
Volkswagen,ID.4,2019,Hatchback,68.1,94.1,310,160.5,0.53,998,21.31,139577,85.8,3.8
Volkswagen,ID.3,2019,Truck,116.8,78,545,89.7,1.59,854,24.64,138099,86.4,29.2
Hyundai,Ioniq 5,2015,Sedan,84.3,90.6,403,196,0.46,822,16.32,134094,95,11.4
Tesla,Model S,2016,Hatchback,93,99.9,378,26.6,4.86,582,16.97,91136,73.6,0.8
Kia,Niro EV,2023,SUV,47.1,74.6,221,109.5,0.46,1301,12.64,201087,65.4,-2.3
BMW,i3,2017,SUV,52.9,97.2,278,115.9,0.48,1428,24.14,192822,49.2,18.1
Chevrolet,Bolt EV,2023,SUV,98.2,91.7,409,16.2,7.14,429,17.32,36116,44.9,10.7
Hyundai,Ioniq 5,2022,Hatchback,66.7,87.5,360,204.6,0.38,1221,16.75,199286,98.9,18.5
Nissan,Leaf,2022,Truck,91,77.5,537,118.7,1.05,720,20.42,119009,48.6,30
Nissan,Ariya,2016,Truck,57.5,82,326,104.3,0.78,570,18.49,134622,53,-0.7
Hyundai,Ioniq 5,2020,Sedan,81.9,87.8,411,48.4,1.79,640,15.56,249556,85.4,14.4
Kia,EV6,2023,Sedan,92.9,72.6,503,243.5,0.46,1794,21.14,110351,74.4,-7.5
Tesla,Model Y,2024,Hatchback,48.7,76.2,221,181.1,0.32,1892,22.26,74396,93.8,34.1
Mercedes,EQS,2017,Truck,57.9,79.9,253,203.8,0.37,1725,21.74,38783,60.4,4.4
Ford,Mustang Mach-E,2018,Hatchback,41.2,98.4,232,143,0.31,273,18.33,165649,72.9,28.3
Tesla,Model X,2018,Sedan,60.9,99.1,314,121.3,0.58,1727,24.6,15910,32.3,10.2
Volkswagen,ID.3,2020,Sedan,31.2,86.5,134,78.6,0.51,727,14.48,118572,53.3,5.1
Hyundai,Ioniq 5,2021,Hatchback,33.5,87,193,88.3,0.5,924,14.75,65891,69.6,4.1
Hyundai,Kona Electric,2022,Sedan,59.8,80.3,273,119.9,0.64,1581,24.98,72961,77.2,32
Tesla,Model X,2024,SUV,112.4,83.9,595,74.2,2.05,961,14.2,140246,84.2,17.6
Volkswagen,ID.3,2016,Hatchback,31.2,84.3,130,113.5,0.38,984,22.9,182384,93.9,5.3
Nissan,Ariya,2022,SUV,52.2,98.4,280,238.4,0.26,1395,23.6,227060,54.3,18.6
Audi,e-tron,2020,Hatchback,62.5,70.6,374,40.2,1.86,1438,14.9,233252,64,-2.5
Audi,Q4 e-tron,2023,Hatchback,40.3,96.1,209,214.1,0.21,1594,23.93,233582,79.9,-0.5
Audi,e-tron,2019,SUV,76.7,84.9,352,227.2,0.47,534,15.02,14821,91.6,2.8
Nissan,Leaf,2017,Sedan,87.2,89.9,479,183.1,0.55,1097,18.47,231972,48.3,32.5
Volkswagen,ID.4,2018,Truck,32.2,72,170,241.6,0.16,533,24.76,77603,48,-0.9
Nissan,Leaf,2020,Sedan,94.6,96.8,555,158.7,0.84,1296,24.4,45139,78.2,37.6
Hyundai,Kona Electric,2019,Hatchback,113.2,75.4,657,85.7,1.8,984,12.03,80287,48.4,23.3
Volkswagen,ID.4,2024,SUV,58.4,72.9,250,222.1,0.36,1986,24.22,131407,90.4,-2.6
Kia,EV6,2020,Sedan,37.2,88.1,212,22.4,1.85,492,23.39,151635,42.3,26.5
Hyundai,Kona Electric,2017,SUV,71.8,94.5,391,127.8,0.61,607,23.15,84543,89.3,15.4
Mercedes,EQC,2023,Sedan,62,87.1,279,116.2,0.69,939,23.71,147076,89.6,5
Hyundai,Ioniq 5,2022,Truck,42.5,88.5,221,62,0.84,718,15.9,222425,31.3,37.1
BMW,iX,2022,Sedan,38.2,97.9,200,55,0.83,499,17.9,231610,74.1,-0.7
Audi,Q4 e-tron,2022,SUV,84.8,86.6,450,225,0.41,1855,24.69,184779,67.4,26.4
Chevrolet,Bolt EUV,2024,Truck,113.2,92.4,541,91.6,1.49,476,23.9,236737,79.7,5.8
Tesla,Model X,2017,Sedan,77,74.6,424,170,0.58,1192,14.44,213408,77.2,35.6
Mercedes,EQS,2020,Hatchback,82.6,88.6,436,242.1,0.46,1131,14.44,249023,97.9,-2
Volkswagen,ID.3,2019,SUV,106.3,70.8,626,183.3,0.8,777,20.1,6903,45.3,23.4
Hyundai,Kona Electric,2021,Hatchback,44.3,80.3,191,194.2,0.32,1192,23.78,194291,77.4,16.8
Kia,EV6,2018,Hatchback,54.1,77,227,74.8,0.87,1492,21.17,45685,73.5,-1
Chevrolet,Bolt EUV,2018,Hatchback,40.4,91.9,175,249.6,0.18,983,16.93,120982,48.1,34.8
Kia,Niro EV,2016,Hatchback,62.8,73.3,326,23.1,2.97,1415,23.72,22191,63.9,28.9
Ford,Mustang Mach-E,2019,Hatchback,72,99.2,414,54.4,1.5,1060,18.77,163146,80.5,28.4
Mercedes,EQC,2019,Hatchback,100.8,77,491,244.1,0.46,554,18.14,206365,33.5,6.6
Hyundai,Kona Electric,2023,Sedan,65.9,70.8,321,226.6,0.32,712,24.79,72713,60.9,13.8
Mercedes,EQC,2019,Hatchback,47.6,81,191,211.6,0.25,856,16.04,69566,96.9,-7.8
BMW,i3,2016,Truck,119.8,93.2,576,129.2,1.17,1861,19.8,177660,61.4,7.1
Tesla,Model S,2015,Hatchback,32,80.6,186,249.2,0.14,1426,15.28,69403,71.3,4.5
Volkswagen,ID.3,2018,Sedan,53.9,95.1,313,139.8,0.54,1161,19.64,231196,59,31.5
Chevrolet,Bolt EUV,2023,Hatchback,39.3,70.1,181,46.2,1.13,1939,21.34,15470,53.3,10.2
Nissan,Ariya,2018,Truck,31.2,89.8,177,198.7,0.2,1831,16.18,223510,99.2,24.1
Chevrolet,Bolt EUV,2016,Sedan,120,93.3,713,176.7,0.85,1819,22.76,96087,59.2,25.2
Nissan,Ariya,2018,Sedan,90.1,71.8,455,21.8,5.84,1355,23.33,92943,82,22.1
Mercedes,EQS,2022,Sedan,84.9,85.5,496,135.5,0.66,661,17.55,216927,62.9,24.9
Volkswagen,ID.4,2017,Truck,72.2,72.4,387,199.9,0.38,1483,21.63,145170,69.7,16.4
Nissan,Ariya,2023,SUV,93,95.9,405,238.4,0.55,1694,19.73,126751,76.2,33.9
Tesla,Model Y,2023,Sedan,75.5,83.8,338,117.9,0.68,1663,16.16,20096,46.9,19.3
Audi,e-tron,2021,Sedan,92.9,83.2,507,232.7,0.45,1260,22.98,224174,86.4,37.2
BMW,i3,2016,Truck,111.2,84.5,507,182.2,0.66,1796,20.94,193622,94.4,14.8
BMW,iX,2020,SUV,103.5,93.1,485,176,0.84,859,13.8,20877,73.4,-7
Kia,EV6,2020,Sedan,55.1,90.6,289,52.1,1.43,405,12.98,21035,97.3,30.3
Ford,Mustang Mach-E,2018,Sedan,86.6,74.3,353,178.6,0.66,1626,24.84,115988,36.8,3.3
Tesla,Model X,2021,SUV,73.9,87,333,133.8,0.62,1534,17.1,119391,70.7,9.1
Ford,F-150 Lightning,2017,Sedan,105.5,75.4,549,115.9,1.11,1434,21.94,205124,36.1,21.5
Hyundai,Kona Electric,2018,SUV,116.5,83.8,583,90.4,1.82,667,12.49,121888,78.3,11.9
BMW,iX,2023,Truck,67.7,84.6,379,81.8,1.14,272,19.1,14363,85.8,13.8
Mercedes,EQS,2015,Truck,94.1,85.7,406,102.8,1.08,1129,19.49,9626,80,28.6
BMW,i4,2016,Sedan,73.9,76.8,408,73.8,1.28,1166,19.62,153953,62.1,11.4
Volkswagen,ID.3,2015,Sedan,63,73.8,273,231,0.33,1102,23.11,94338,75,33
Hyundai,Ioniq 5,2017,Hatchback,37.7,95.8,197,239.6,0.22,1274,18.85,232581,54.5,12.3
Volkswagen,ID.4,2019,SUV,112.9,100,508,234.6,0.63,427,19.76,84544,85,5.7
Nissan,Leaf,2021,Sedan,58.4,95.7,338,156.8,0.45,561,16.83,16467,98.9,36.4
Nissan,Ariya,2024,Truck,42.1,94.4,217,195.8,0.26,1352,22.12,104464,69.1,38.1
Kia,EV6,2024,Hatchback,37.9,82.5,180,94.6,0.52,425,17.33,91170,74.8,25.7
Nissan,Leaf,2021,Truck,117.4,80.5,537,154.8,0.85,651,20.19,91780,97.2,3.4
Nissan,Ariya,2021,Truck,35.7,98.9,187,52.4,0.93,1021,14.62,54178,49.5,-2.3
Tesla,Model 3,2017,Hatchback,50.2,71.6,279,164.2,0.39,1436,24.09,227688,41.9,7.3
Audi,Q4 e-tron,2023,SUV,63.4,82.2,308,231.4,0.31,1331,14.31,95124,57.3,22.9
Audi,e-tron,2015,SUV,69.8,96.1,364,15.9,5.29,737,20.55,40453,59.6,18.9
Kia,EV6,2018,SUV,100.1,79.7,486,125.6,0.86,624,21.62,13545,79.4,27.1
Volkswagen,ID.4,2020,Hatchback,99.2,95.9,469,136.6,1,758,20.58,62782,42.8,-1.7
Audi,Q4 e-tron,2023,Hatchback,101.4,75.3,571,77.1,1.41,1349,16.36,41852,36,21.9
Hyundai,Ioniq 5,2015,Truck,58.6,100,302,33,2.14,1897,17,249175,61.2,19.4
Nissan,Leaf,2024,SUV,103.5,77.1,569,221,0.54,1689,24.22,155634,91.8,29.6
Mercedes,EQC,2018,Truck,91.3,82.3,467,110.4,0.9,1281,23.13,197372,88.8,27.7
Tesla,Model Y,2018,Hatchback,52.9,97.4,284,187.2,0.36,266,21.24,100761,42.5,29.6
Audi,e-tron,2018,Sedan,86.2,77.2,483,105.2,1.01,822,17.62,16908,46.2,39.3
Tesla,Model Y,2020,SUV,88.7,76.1,438,245.2,0.48,1731,19.48,216077,38,-9.2
Audi,e-tron,2019,SUV,67.2,93.1,400,238.3,0.3,472,20.71,52767,91.5,4.2
Hyundai,Kona Electric,2020,Truck,35.5,97.5,154,48.9,0.8,1040,23.93,15622,93.6,-4.7
Ford,Mustang Mach-E,2017,Hatchback,84,85.8,413,240.4,0.47,637,18.06,234598,63.8,17.2
Ford,Mustang Mach-E,2016,SUV,108.2,95.7,609,25.7,5.53,1320,23.69,5046,98.2,38.4
Kia,Niro EV,2024,Truck,47.7,88.2,261,42.3,1.25,541,18.39,164506,64.6,-6.9
Tesla,Model Y,2020,Truck,55.8,94.4,325,108.1,0.71,1068,20.45,9852,77.4,29.6
Tesla,Model Y,2021,Sedan,81.9,83.4,436,210.2,0.51,1338,18.7,150050,45,-5.4
Mercedes,EQS,2020,Truck,115,89.8,569,87,1.67,1605,15.67,106879,78.6,39.8
Tesla,Model X,2024,Hatchback,93.2,88.4,430,201.7,0.64,1741,14.28,240876,73.1,4.2
Nissan,Ariya,2017,SUV,62.6,81.6,338,32.6,2.67,1342,24.62,172115,40.4,6.9
Audi,e-tron,2019,Sedan,116.9,80.2,619,145.4,0.9,1756,20.93,16990,87.1,23.5
BMW,iX,2019,SUV,72.3,73.9,392,173.7,0.44,1697,24.23,218403,48.8,23.8
Ford,F-150 Lightning,2016,Hatchback,92.9,96.6,414,179.8,0.65,853,16.23,12825,41.7,34.1
Kia,EV6,2023,Hatchback,49.4,99.8,270,104.8,0.64,385,24.78,180666,73.5,7.4
Ford,F-150 Lightning,2021,Truck,71.1,73.2,323,107.1,0.75,1941,14.01,45725,80.1,19.7
Nissan,Leaf,2024,Sedan,119.2,86,613,249,0.5,829,12.14,249334,63.7,32.6
Volkswagen,ID.4,2018,SUV,70.2,89.7,335,94.8,0.92,1423,19.04,174080,87,16.3
Chevrolet,Bolt EUV,2019,Hatchback,115.2,91.8,463,38.8,3.19,1116,12.5,198619,73.2,1.8
Chevrolet,Bolt EV,2019,Hatchback,55.1,79.7,257,178,0.38,839,20.65,145559,83.8,12
Volkswagen,ID.3,2020,Sedan,39.5,90.5,219,142.8,0.37,1386,18.6,197375,78,26.3
BMW,i4,2019,SUV,59.5,99.5,247,84.2,0.89,1236,24.98,35593,35.8,25.6
Ford,F-150 Lightning,2015,Hatchback,65.8,96.1,323,82.5,0.93,907,16.64,37252,32,-6.5
Kia,Niro EV,2019,Hatchback,50.6,78.2,206,53.4,1.1,1487,24.17,249959,34.3,-3.3
BMW,iX,2015,SUV,92.3,78.8,465,133,0.88,1484,24.65,218214,65.6,37.8
Kia,EV6,2018,SUV,95.9,72.4,423,85.5,1.54,1852,14.9,80475,66,32.5
Nissan,Leaf,2020,SUV,45.4,80.4,269,197.6,0.3,1469,12.6,51887,64.3,23.4
BMW,i4,2023,Truck,44,94.7,198,113.1,0.42,479,20.99,192388,41.2,37.7
Volkswagen,ID.3,2019,Sedan,110.6,72.3,648,105.7,1.12,775,16.92,46864,81.5,19.6
Volkswagen,ID.4,2021,SUV,47.6,77.5,211,142.2,0.36,1183,12.5,48639,35.6,0.8
Chevrolet,Bolt EV,2020,Sedan,118.2,74.4,542,14.8,8.91,300,13.11,24628,32.7,-2.2
Kia,Niro EV,2024,Truck,79.9,75.1,319,218.7,0.42,472,22.11,77592,72.8,10.8
Hyundai,Ioniq 5,2020,SUV,59.6,93.1,347,214.1,0.31,1255,18.6,209617,82.6,6.7
Tesla,Model X,2016,Truck,67.2,91,360,172.6,0.47,374,19.08,136156,97.3,35.9
Mercedes,EQC,2020,SUV,58.3,91,341,120.7,0.63,1729,13.33,94589,58.5,23.7
Ford,F-150 Lightning,2015,Sedan,48.3,76.1,260,218.1,0.29,454,23.77,173496,73.5,4.3
Tesla,Model 3,2023,Truck,107.2,87.2,561,234.3,0.62,906,15.97,147923,55.1,-5.3
Mercedes,EQS,2019,Truck,69.9,87.9,284,123.2,0.67,1041,20.97,212159,50.7,39.6
Volkswagen,ID.3,2023,SUV,96.5,93.4,462,102.8,1.09,413,22.71,177150,62.7,-5.1
Nissan,Leaf,2016,SUV,38.7,94,196,48.5,0.98,1329,17.37,142845,53.8,4.5
Nissan,Leaf,2017,Truck,39.9,85.5,204,32.6,1.59,457,14.2,87570,52.1,17.3
Hyundai,Kona Electric,2020,SUV,90.1,87.1,512,159.6,0.66,1218,21.48,11844,54.1,26.2
Audi,Q4 e-tron,2016,Truck,51.5,74.6,295,236.1,0.27,1527,13.03,239353,37.7,-3.8
Nissan,Ariya,2024,Hatchback,115.8,99.4,463,39.7,3.49,1772,13.47,222958,69.7,1.8
Audi,e-tron,2018,Truck,71.9,91.8,410,83.4,1.14,1265,17.33,82684,54.4,36.9
Kia,EV6,2021,SUV,85.3,72.5,360,139.1,0.74,1412,18.45,32161,43.1,-6.7
Chevrolet,Bolt EV,2016,Hatchback,82.2,79.5,445,70.4,1.29,1233,16.21,93215,52.2,8.4
Audi,Q4 e-tron,2015,Truck,57.8,80.2,253,240.8,0.32,1608,24.27,90675,63.3,2.5
Tesla,Model 3,2017,Sedan,116.6,87.7,650,21.8,7.36,1869,15.37,97340,43.4,-5.8
Audi,Q4 e-tron,2020,SUV,56.1,82,318,115.7,0.64,1566,21.49,68012,60.3,-4.8
Kia,EV6,2024,SUV,66.1,94.6,281,171.6,0.55,401,22.94,100155,35.9,28.2
Hyundai,Ioniq 5,2016,SUV,67.7,85.1,399,111.4,0.66,403,24.05,203273,82.1,16.3
Kia,EV6,2016,SUV,106.9,76.2,593,13,11.23,482,13.63,16684,43.6,28.2
Tesla,Model X,2023,Truck,91.7,87.2,496,195.4,0.53,368,12.98,100324,54,-5.5
Audi,Q4 e-tron,2015,Hatchback,93.4,95.3,474,88.3,1.29,1084,23.12,28033,95.1,-0.7
Ford,Mustang Mach-E,2017,Truck,62.3,97.2,319,62.9,1.36,1371,15,240784,53.4,-2.7
Kia,EV6,2022,Sedan,31.1,96.6,146,42.7,0.99,930,18.49,41469,74.9,28
Mercedes,EQC,2019,Truck,38.5,78.5,202,63.2,0.71,1737,22.86,115375,85,29.5
Mercedes,EQC,2019,SUV,78.1,84.9,366,51.3,1.67,1784,21.77,165470,47.1,31.4
Hyundai,Ioniq 5,2015,Hatchback,41,76.5,234,215.9,0.2,1759,14.75,194448,75.4,17.3
Volkswagen,ID.4,2023,Hatchback,65.7,84.6,360,26.9,2.62,236,23.63,30099,33.4,-0.3
BMW,i4,2021,SUV,95.3,91.2,559,60.1,1.81,1374,18.56,164827,38.4,1.1
Chevrolet,Bolt EV,2024,Sedan,100.3,83.5,507,113.5,1.01,484,24.24,25378,63.7,37.2
BMW,i4,2017,Sedan,113.6,80.3,573,44.1,2.75,655,20.15,243006,49,5.2
Volkswagen,ID.3,2024,Hatchback,57.4,92.2,282,153.8,0.46,1874,17.56,51676,35.4,23.3
Audi,e-tron,2024,Sedan,96.4,74.7,437,66.4,1.82,1095,15.02,218905,81,-7.4
Tesla,Model S,2017,Sedan,56,91.8,305,63.9,0.95,1924,14.51,9406,40.2,26.7
Nissan,Ariya,2021,Sedan,87.6,84.6,351,166.3,0.65,923,23.99,136603,45.4,-7.5
Audi,Q4 e-tron,2023,SUV,37.1,87.7,162,130.2,0.36,307,16.17,63081,90.8,29.7
Mercedes,EQS,2019,Truck,117,89.8,679,53.7,2.65,1505,23.01,70064,97.7,20.3
BMW,i3,2019,Truck,52.7,70.7,225,168.5,0.33,305,13.73,59057,42.6,4.8
Nissan,Leaf,2017,Sedan,76,71.7,389,201.6,0.51,1135,24.86,170518,82.2,1.2
Nissan,Ariya,2021,Sedan,50.8,75.1,260,151.2,0.39,560,17.44,195198,37.8,32.2
Hyundai,Ioniq 5,2024,SUV,30.3,77.6,138,33.3,1.18,1667,20.94,127179,76.8,32.7
Kia,EV6,2015,Sedan,73.3,91.3,324,187.6,0.47,525,20.88,142415,34.7,21
Nissan,Leaf,2019,Truck,45.2,92.4,255,215.6,0.29,1744,17.15,73833,39,38.5
Mercedes,EQS,2024,Truck,76.5,81.8,385,116.1,0.78,1315,22.14,10258,75.4,1.7
Mercedes,EQC,2020,Hatchback,87.8,74.6,398,26.4,4.46,391,12.15,24491,44.3,26.4
Mercedes,EQC,2019,SUV,102.8,87,459,14.4,10.12,1653,12.28,171784,38.5,-2.2
Kia,Niro EV,2020,Sedan,82.6,72.6,470,141.7,0.63,1313,20.41,204106,35.4,25.6
Ford,F-150 Lightning,2022,Sedan,114.2,82.4,637,167.3,0.92,498,17.37,9061,92.7,15.5
BMW,i4,2016,Hatchback,50.8,89.9,284,87.3,0.68,817,24.65,36245,93.6,25.1
Chevrolet,Bolt EV,2017,Hatchback,119.4,84.1,653,22.7,6.45,1361,22.46,190218,88.8,-4.6
BMW,i3,2021,SUV,108.2,82.5,503,153.6,0.78,1279,12.84,150138,31.3,38.7
Ford,F-150 Lightning,2016,Hatchback,103.5,93.1,544,35.2,3.84,1008,24.32,241386,60.4,22.6
Volkswagen,ID.4,2019,SUV,99.4,94.1,447,21,6.3,247,13.72,178614,80.8,-6.5
Audi,Q4 e-tron,2018,SUV,77.2,81.2,442,85.1,1.26,346,22.21,87102,51.3,32
Mercedes,EQS,2019,Sedan,62.1,92.1,328,192.4,0.36,1703,20.09,8941,98.9,39.9
Tesla,Model 3,2023,Truck,100.6,97.9,549,196.5,0.71,965,21.89,189505,78.5,-6.7
BMW,i3,2019,Truck,112.3,92.7,539,90.2,1.32,306,23.7,128362,74.9,-5.4
Kia,Niro EV,2023,Hatchback,111.7,99.8,605,232.7,0.52,763,15.02,200621,35,1.7
Hyundai,Kona Electric,2020,Sedan,47.5,99.5,231,238,0.25,450,17.64,113538,77.3,12.5
BMW,i4,2022,Hatchback,89.4,93.3,395,76.3,1.56,1253,16.85,243461,55.9,35.7
Nissan,Leaf,2021,SUV,67,79.5,345,235.2,0.37,211,17.89,68976,89.1,10.1
Ford,Mustang Mach-E,2020,SUV,107.4,97.7,432,99.4,1.41,1589,18.44,203752,100,16.6
Mercedes,EQS,2020,SUV,52.2,94,265,81.8,0.78,1328,14.41,81968,50.6,28.2
Audi,Q4 e-tron,2019,Hatchback,86.3,91.5,419,15.8,6.34,762,16.18,139141,62.4,-0.3
Chevrolet,Bolt EV,2021,Sedan,104.2,92.8,492,28.2,4.69,1186,19.14,152681,74.5,17
Tesla,Model 3,2020,Sedan,63,99.4,320,69,1.22,1784,23.23,68594,71.3,23.5
Chevrolet,Bolt EUV,2021,SUV,55.8,96.8,243,120.6,0.55,826,17.33,126448,46.2,23.5
Kia,EV6,2023,SUV,117.5,88.6,671,134.5,1.15,802,17.43,208182,64.5,27.5
Volkswagen,ID.3,2019,Hatchback,88,74.7,462,147.9,0.71,1236,19.77,10291,82.6,-7.5
Mercedes,EQC,2018,Hatchback,47.9,86.3,284,177.1,0.33,999,13.26,88176,92.4,35.8
Volkswagen,ID.4,2016,Sedan,113.4,98.9,486,243.9,0.64,1982,21.53,130200,99.6,36.7
Volkswagen,ID.3,2018,Sedan,50.2,79.1,210,165,0.41,570,16,153120,54.8,-6.3
Ford,F-150 Lightning,2021,SUV,107.9,87.4,530,142.4,0.95,1350,24.4,113540,95,15.4
Audi,e-tron,2020,SUV,43,75.5,177,223.3,0.21,1617,24.2,27953,42.8,-6
Kia,EV6,2020,Sedan,33.9,79.3,139,67.4,0.66,557,15.06,222789,82.1,9.4
